id,has_website,is_scraped,is_filtered
1255857521,True,True,False
1422964359,,False,False
1592876743,True,True,False
1598855455,,False,False
1611634279,True,True,False
1769276555,,False,False
1796023933,True,True,False
1810731427,True,True,False
2001289817,,False,False
2343796329,,False,False
2368364435,,False,False
2369538706,True,True,False
2376800603,True,True,False
2434405583,True,True,False
2434405622,,False,False
2573355484,,False,False
2578294254,True,True,False
2579603914,True,True,False
2616015642,,False,False
2663868078,False,False,False
2684267823,True,True,False
2840757806,True,True,False
2901279855,True,True,False
2901296695,,False,False
2901296696,,False,False
3077292533,True,True,False
3208777028,True,False,False
3208777648,,False,False
3224586205,,False,False
3226238689,,False,False
3237678599,,False,False
3392587471,True,True,False
3418151701,,False,False
3530571040,,False,False
3641307583,,False,False
3751874033,True,False,False
3758773688,True,True,False
3890667653,True,True,False
4031071830,,False,False
4031079476,,False,False
4031337376,True,False,False
4058010750,False,True,False
4121508291,,False,False
4166185589,,False,False
4273041689,True,True,False
4377355191,,False,False
4408538970,,False,False
4417769694,True,True,False
4540155697,,False,False
4554501146,True,True,False
4574006993,True,True,False
4595404674,True,True,False
4601259258,,False,False
4601267408,True,True,False
4701573904,True,True,False
4840045320,True,True,False
4917036030,True,False,False
4945175252,True,False,False
4975887622,True,True,False
5009932363,,False,False
5016417015,True,True,False
5085889851,,False,False
5092178833,True,True,False
5130231631,,False,False
5130247921,True,True,False
5137057421,True,True,False
5157189624,True,False,False
5157189625,True,True,False
5278457922,True,True,False
5294134634,,False,False
5341699522,True,True,False
5364617921,True,False,False
5364628821,True,False,False
5364651421,True,True,False
5677223491,True,True,False
5689913622,True,True,False
5689913623,True,True,False
5690808949,,False,False
5718149115,True,True,False
5744194043,,False,False
5744197143,,False,False
5840997988,,False,False
5948052298,True,True,False
6015038275,True,True,False
6338447791,,False,False
6372129001,True,False,False
6372461431,,False,False
6372498649,True,True,False
6372499900,True,True,False
6388624275,True,True,False
6654642118,True,True,False
6780034746,,False,False
6780084788,True,False,False
6804080051,,False,False
7003029881,True,True,False
7178593691,True,True,False
7683239068,True,True,False
7747207685,True,False,False
7762245664,True,True,False
7809972322,True,True,False
8010710188,True,False,False
8036732978,True,True,False
8067914457,True,True,False
8151207329,,False,False
8311101717,,False,False
8500247484,True,True,False
