restaurantName|reviewerId|rating|reviewDate
Schafli|schtummi|4|2018-10-06
Schafli|auackerpflug|1|2018-06-30
Schafli|Largo78|2|2018-06-15
Schafli|yvonnej920|4|2018-05-02
Schafli|TheKringel|5|2018-04-10
Schafli|stapowinu|4|2018-03-12
Schafli|Jochanan658|5|2018-03-02
Schafli|sarabX5046VF|3|2018-01-23
Schafli|jasmins963|4|2017-11-24
Schafli|andn2010|4|2017-10-31
Schafli|jhopra|5|2017-10-21
Schafli|michl080|5|2017-10-15
Schafli|TravelNishi|5|2017-10-02
Schafli|Balthazar-Sihlcity|2|2017-09-18
Schafli|DominiqueP1942|5|2017-08-03
Schafli|Teddli6162|4|2017-07-26
Schafli|ChristinaC3642|4|2017-07-12
Schafli|akrisch|5|2017-06-26
Schafli|mullerm65|5|2017-06-12
Schafli|Carllll|4|2017-05-17
Schafli|BiancaS3731|5|2017-04-11
Schafli|henryswiss|4|2016-12-21
Schafli|phonphet|4|2016-12-10
Schafli|t0c|5|2016-11-30
Schafli|Mala82|4|2016-11-19
Schafli|UlfSchn|4|2016-11-01
Schafli|EvaR272|4|2016-10-10
Schafli|mariobV6056SG|4|2016-09-03
Schafli|Sternkind|4|2016-08-16
Schafli|MSGast|2|2016-07-13
Schafli|Andriiin|4|2016-06-28
Schafli|mrgoagoa|3|2016-05-17
Schafli|Liwiusz|4|2016-02-11
Schafli|peterhunziker|4|2015-10-30
Schafli|cheeky-kea|4|2015-10-28
Schafli|Erbse91|5|2015-10-08
Schafli|Suri-from-Winterthur|4|2015-09-10
Schafli|swiss-jf|3|2015-09-09
Schafli|Rubigencity|4|2015-09-08
Schafli|F4683PHmartinw|2|2015-08-23
Schafli|mikemX3407GZ|3|2015-08-13
Schafli|M1393SDsandram|3|2015-08-03
Schafli|Inefraesi|3|2015-06-10
Schafli|Salvatore2608|5|2015-03-28
Schafli|RudolfJ_13|5|2015-03-08
Schafli|kiwijazz|4|2015-03-03
Schafli|ukyonline|4|2014-11-10
Schafli|sch1189|2|2014-11-04
Schafli|713ursa|1|2014-10-08
Schafli|Blaabear|5|2019-08-03
Schafli|ADAMmaples|4|2017-01-29
Schafli|ncanus1|5|2017-01-10
Schafli|Dublogach|5|2016-11-06
Schafli|sgec1105|4|2016-04-16
Schafli|nab88|4|2016-03-03
Euro Asia Bazar by Kandhasamy|Dreamer756515|5|2021-03-24
Euro Asia Bazar by Kandhasamy|veitsomuch|5|2020-09-04
Euro Asia Bazar by Kandhasamy|dariusf2016|5|2020-08-26
Euro Asia Bazar by Kandhasamy|MartinWinti-1-|5|2020-07-19
Euro Asia Bazar by Kandhasamy|1763pKredos|4|2020-07-17
Euro Asia Bazar by Kandhasamy|Travelfamily200001|4|2020-07-15
China Bowl|Voyage48612934582|1|2024-05-18
China Bowl|ANSGAR_SCHAEFER|2|2023-10-17
China Bowl|Wanderer38337166551|5|2023-09-10
China Bowl|G_hachfi|1|2022-06-26
China Bowl|srshana|5|2022-03-08
China Bowl|Bahnhof333|5|2022-03-04
Restaurant Neumarkt|Discover02224118583|5|2021-08-01
Restaurant Neumarkt|andg222|1|2018-06-09
Restaurant Neumarkt|LouisaClark80|5|2017-05-15
Restaurant Neumarkt|sarae998|5|2017-03-25
Restaurant Neumarkt|GeoZurich|3|2016-06-23
Restaurant Neumarkt|h8400|5|2015-10-30
Restaurant Neumarkt|teimen|5|2015-09-12
Restaurant Neumarkt|comewithus2|4|2015-09-09
Restaurant Neumarkt|gnaciol745|5|2015-08-30
Restaurant Neumarkt|g1na|5|2015-07-29
Restaurant Neumarkt|SarahS13288|5|2015-06-22
