Les Coulisses Bar Brasserie Cafe|Monika Christen|3|2023-03-05
Les Coulisses Bar Brasserie Cafe|DMA NETWORK|5|2021-05-04
Restaurant Ibis Winterthur City|Alden R. Machado|5|2025-05-21
Restaurant Ibis Winterthur City|Savanna W|4|2025-06-24
Restaurant Ibis Winterthur City|Anwar Hawary|5|2024-07-11
Restaurant Ibis Winterthur City|Madhav Ramesh|2|2024-05-31
Restaurant Ibis Winterthur City|Dinko Kulenovic|2|2024-09-21
asiaway Archhöfe|Dominique Marc LEDERMANN CUELLAR|1|2025-04-21
asiaway Archhöfe|Nima Dunne|5|2025-06-07
asiaway Archhöfe|Stefan Wipraechtiger|5|2024-12-18
asiaway Archhöfe|Reza Bahadori|4|2025-02-06
asiaway Archhöfe|Phattharawadi Musikwan|1|2025-04-10
Ristorante Pizzeria Villa Duchessa|Alexandre NIKOLIC|5|2025-02-27
Ristorante Pizzeria Villa Duchessa|Aussie Rider|5|2025-03-03
Ristorante Pizzeria Villa Duchessa|Sonia Zimmermann|4|2025-05-06
Ristorante Pizzeria Villa Duchessa|Luca Bosin|4|2024-12-12
Ristorante Pizzeria Villa Duchessa|Dominik Schelling|3|2025-02-23
Hermannseck|Severin|5|2024-11-19
Hermannseck|Orven Wiesendanger|5|2023-11-19
Hermannseck|fye fajamin|5|2018-10-12
Hermannseck|Monita Fadya|5|2020-10-27
Hermannseck|Enis B.|5|2022-05-13
Haku Japan Restaurant|Jan Christoph Baitella (Chris)|4|2025-01-28
Haku Japan Restaurant|mintharabun|5|2020-11-10
Haku Japan Restaurant|philbramaz|1|2024-03-12
Haku Japan Restaurant|Urs Grob (Woerf)|5|2019-05-07
Haku Japan Restaurant|Sarah Ruh|4|2019-12-02
Ristorante Caruso|Anthony Bello|5|2018-10-28
Ristorante Caruso|Dan Turner|2|2019-06-09
Ristorante Caruso|Grzegorz Prössel|5|2022-08-20
Ristorante Caruso|C K|5|2019-04-09
Ristorante Caruso|Benjamin von Deschwanden|5|2019-03-07
Fondue Keller Winterthur|Angela M|5|2021-11-27
Fondue Keller Winterthur|B U|5|2021-11-26
Fondue Keller Winterthur|Dax Van Diepen|4|2022-10-23
Fondue Keller Winterthur|Chooblall Dharamdin|5|2022-04-01
Fondue Keller Winterthur|The Abbs|4|2021-12-03
Café Schneider|Charlene Larson Rotandi|4|2018-08-12
Café Schneider|Hadia Bakdach|1|2022-05-29
Café Schneider|Robert Rowe|5|2022-03-27
Café Schneider|Ursula Ljungqvist|5|2019-09-11
Café Schneider|Elias Adam|5|2023-02-02
Restaurant Eulachpark|Annie Nguyen|4|2021-04-21
Restaurant Eulachpark|The Contract Lawyer|4|2023-08-05
Restaurant Eulachpark|Reza Bahadori|5|2022-07-16
Restaurant Eulachpark|Flávia Groba|5|2023-03-19
Restaurant Eulachpark|Ani Lakshminarasimhan|5|2021-08-12
Lina's Bar|Aussie Rider|5|2025-04-18
Lina's Bar|Bas CH|4|2022-02-22
Lina's Bar|Sandi Southworth|4|2024-06-22
Lina's Bar|Frank Barner|5|2022-07-02
Lina's Bar|Joël Maag|5|2018-06-13
Cucina|Natalia Lutz|4|2018-01-29
Cucina|Vic Vicnarajah|5|2019-08-15
Cucina|roland burge|5|2023-05-29
Cucina|Erica Siegenthaler (Riggeli)|5|2019-04-26
Cucina|Bk King|5|2022-10-30
Pizzeria Ristorante Molino, Winterthur|shreeya nema|5|2025-04-07
Pizzeria Ristorante Molino, Winterthur|Rich Davidson|5|2024-07-17
Pizzeria Ristorante Molino, Winterthur|Anni Yao|4|2023-05-02
Pizzeria Ristorante Molino, Winterthur|Wolf|5|2024-09-18
Pizzeria Ristorante Molino, Winterthur|Nóra Ökrös|5|2023-12-01
Restaurant Bruderhaus|Leili Sh|5|2025-06-01
Restaurant Bruderhaus|shreeya nema|5|2025-06-14
Restaurant Bruderhaus|Oksana Meier|5|2023-09-10
Restaurant Bruderhaus|Bell Belle|4|2022-07-30
Restaurant Bruderhaus|Barbara|2|2024-10-06
Nooba Kesselhaus|Jimmy H.|5|2023-05-27
